Term ID,Term Permalink,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Image Filename,Image Path,Image ID,order,product_pa_color-selector
3501,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c,سرمه ای,%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c,,0,,,49,,,,,,,,,,0,#000080
3502,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b2%d8%b1%d8%af,زرد,%d8%b2%d8%b1%d8%af,,0,,,7,https://luxbaz.com/wp-content/uploads/2023/03/In-Story-cover-بوت-نیم-بوت-1675593275.jpeg|https://luxbaz.com/wp-content/uploads/2023/03/In-Story-mob-سویشرت-هودی-1675765050.jpeg|https://luxbaz.com/wp-content/uploads/2023/03/In-Story-mob-بوت-نیم-بوت-1675596943.jpeg,In-Story-cover-بوت-نیم-بوت-1675593275|In-Story-mob-سویشرت-هودی-1675765050|In-Story-mob-بوت-نیم-بوت-1675596943,||,||,||,,In-Story-cover-بوت-نیم-بوت-1675593275.jpeg|In-Story-mob-سویشرت-هودی-1675765050.jpeg|In-Story-mob-بوت-نیم-بوت-1675596943.jpeg,/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story-cover-بوت-نیم-بوت-1675593275.jpeg|/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story-mob-سویشرت-هودی-1675765050.jpeg|/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story-mob-بوت-نیم-بوت-1675596943.jpeg,3503|3505|3506,0,#FFFF00
3503,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c,نسکافه ای,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c,,0,,,37,,,,,,,,,,0,#6F4E37
3504,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d8%a8%d8%b2-%d8%a2%d8%a8%db%8c,سبز آبی,%d8%b3%d8%a8%d8%b2-%d8%a2%d8%a8%db%8c,,0,,,3,,,,,,,,,,0,#008B8B
3505,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d8%a8%d8%b2-%d9%85%d8%ba%d8%b2-%d9%be%d8%b3%d8%aa%d9%87-%d8%a7%db%8c,سبز مغز پسته ای,%d8%b3%d8%a8%d8%b2-%d9%85%d8%ba%d8%b2-%d9%be%d8%b3%d8%aa%d9%87-%d8%a7%db%8c,,0,,,11,,,,,,,,,,0,#93C572
3506,https://luxbaz.com/?taxonomy=pa_color-selector&term=%db%8c%d8%a7%d8%b3%db%8c,یاسی,%db%8c%d8%a7%d8%b3%db%8c,,0,,,2,,,,,,,,,,0,#EE82EE
3507,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-barbery,مشکی barbery,%d9%85%d8%b4%da%a9%db%8c-barbery,,0,,,4,https://luxbaz.com/wp-content/uploads/2023/03/In-Story.M.arayeshSoorat-1675588425-1.jpeg,In-Story.M.arayeshSoorat-1675588425 (1),,,,,In-Story.M.arayeshSoorat-1675588425-1.jpeg,/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story.M.arayeshSoorat-1675588425-1.jpeg,3509,0,#000000
3508,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-%da%a9%d9%86%d9%81%db%8c,قهوه ای کنفی,%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-%da%a9%d9%86%d9%81%db%8c,,0,,,2,,,,,,,,,,0,#8B4513
3509,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d9%81%db%8c%d8%af-%d9%be%db%8c%da%86%d8%a7%d8%b2%db%8c,سفید پیچازی,%d8%b3%d9%81%db%8c%d8%af-%d9%be%db%8c%da%86%d8%a7%d8%b2%db%8c,,0,,,1,,,,,,,,,,0,#FFFFFF
3510,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-lv-%d8%b1%db%8c%d8%b2,قهوه ای LV ریز,%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-lv-%d8%b1%db%8c%d8%b2,,0,,,2,https://luxbaz.com/wp-content/uploads/2023/03/In-Story.cover_.mokameleDarooyi-1675168166-2.jpeg|https://luxbaz.com/wp-content/uploads/2023/03/In-Story.Mo_.decoration-1677322146.jpeg,In-Story.cover_.mokameleDarooyi-1675168166 (2)|In-Story.Mo.decoration-1677322146,|,|,|,,In-Story.cover_.mokameleDarooyi-1675168166-2.jpeg|In-Story.Mo_.decoration-1677322146.jpeg,/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story.cover_.mokameleDarooyi-1675168166-2.jpeg|/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story.Mo_.decoration-1677322146.jpeg,3511|3512,0,#8B4513
